threshold,cost,tn,fp,fn,tp,precision,recall,model
0.3844897959183673,12890,85106,189,22,126,0.4,0.8513513513513513,XGBoost
0.3138469387755102,12920,85053,242,21,127,0.34417344173441733,0.8581081081081081,XGBoost
0.3037551020408163,12960,85049,246,21,127,0.34048257372654156,0.8581081081081081,XGBoost
0.37439795918367347,12990,85096,199,22,126,0.38769230769230767,0.8513513513513513,XGBoost
0.2936632653061224,13040,85041,254,21,127,0.3333333333333333,0.8581081081081081,XGBoost
0.4349489795918367,13080,85137,158,23,125,0.4416961130742049,0.8445945945945946,XGBoost
0.4248571428571428,13130,85132,163,23,125,0.4340277777777778,0.8445945945945946,XGBoost
0.28357142857142853,13130,85032,263,21,127,0.32564102564102565,0.8581081081081081,XGBoost
0.41476530612244894,13190,85126,169,23,125,0.42517006802721086,0.8445945945945946,XGBoost
0.40467346938775506,13250,85120,175,23,125,0.4166666666666667,0.8445945945945946,XGBoost
0.27347959183673465,13250,85020,275,21,127,0.31592039800995025,0.8581081081081081,XGBoost
0.4854081632653061,13300,85165,130,24,124,0.4881889763779528,0.8378378378378378,XGBoost
0.3945816326530612,13320,85113,182,23,125,0.40716612377850164,0.8445945945945946,XGBoost
0.2633877551020408,13360,85009,286,21,127,0.3075060532687651,0.8581081081081081,XGBoost
0.47531632653061223,13370,85158,137,24,124,0.47509578544061304,0.8378378378378378,XGBoost
0.46522448979591835,13420,85153,142,24,124,0.46616541353383456,0.8378378378378378,XGBoost
0.45513265306122447,13480,85147,148,24,124,0.45588235294117646,0.8378378378378378,XGBoost
0.5863265306122448,13510,85194,101,25,123,0.5491071428571429,0.831081081081081,XGBoost
0.576234693877551,13530,85192,103,25,123,0.5442477876106194,0.831081081081081,XGBoost
0.5661428571428571,13540,85191,104,25,123,0.5418502202643172,0.831081081081081,XGBoost
0.4450408163265306,13540,85141,154,24,124,0.4460431654676259,0.8378378378378378,XGBoost
0.5560510204081632,13570,85188,107,25,123,0.5347826086956522,0.831081081081081,XGBoost
0.5459591836734693,13590,85186,109,25,123,0.5301724137931034,0.831081081081081,XGBoost
0.25329591836734694,13590,84986,309,21,127,0.29128440366972475,0.8581081081081081,XGBoost
0.5358673469387755,13600,85185,110,25,123,0.5278969957081545,0.831081081081081,XGBoost
0.5257755102040816,13640,85181,114,25,123,0.5189873417721519,0.831081081081081,XGBoost
0.5156836734693877,13660,85179,116,25,123,0.5146443514644351,0.831081081081081,XGBoost
0.7175204081632652,13670,85228,67,26,122,0.6455026455026455,0.8243243243243243,XGBoost
0.7074285714285714,13700,85225,70,26,122,0.6354166666666666,0.8243243243243243,XGBoost
0.6973367346938775,13720,85223,72,26,122,0.6288659793814433,0.8243243243243243,XGBoost
0.24320408163265306,13730,84972,323,21,127,0.2822222222222222,0.8581081081081081,XGBoost
0.5055918367346939,13730,85172,123,25,123,0.5,0.831081081081081,XGBoost
0.6872448979591836,13740,85221,74,26,122,0.6224489795918368,0.8243243243243243,XGBoost
0.6670612244897959,13760,85219,76,26,122,0.6161616161616161,0.8243243243243243,XGBoost
0.6771530612244897,13760,85219,76,26,122,0.6161616161616161,0.8243243243243243,XGBoost
0.49549999999999994,13760,85169,126,25,123,0.4939759036144578,0.831081081081081,XGBoost
0.6569693877551019,13780,85217,78,26,122,0.61,0.8243243243243243,XGBoost
0.6468775510204081,13810,85214,81,26,122,0.6009852216748769,0.8243243243243243,XGBoost
0.6367857142857143,13850,85210,85,26,122,0.5893719806763285,0.8243243243243243,XGBoost
0.6266938775510204,13880,85207,88,26,122,0.580952380952381,0.8243243243243243,XGBoost
0.6166020408163265,13890,85206,89,26,122,0.5781990521327014,0.8243243243243243,XGBoost
0.23311224489795918,13920,84953,342,21,127,0.27078891257995735,0.8581081081081081,XGBoost
0.6065102040816326,13920,85203,92,26,122,0.5700934579439252,0.8243243243243243,XGBoost
0.8386224489795918,13960,85249,46,27,121,0.7245508982035929,0.8175675675675675,XGBoost
0.5964183673469388,13970,85198,97,26,122,0.5570776255707762,0.8243243243243243,XGBoost
0.8285306122448979,13970,85248,47,27,121,0.7202380952380952,0.8175675675675675,XGBoost
0.8083469387755101,13990,85246,49,27,121,0.711764705882353,0.8175675675675675,XGBoost
0.818438775510204,13990,85246,49,27,121,0.711764705882353,0.8175675675675675,XGBoost
0.7780714285714285,14000,85245,50,27,121,0.7076023391812866,0.8175675675675675,XGBoost
0.7982551020408163,14000,85245,50,27,121,0.7076023391812866,0.8175675675675675,XGBoost
0.7881632653061224,14000,85245,50,27,121,0.7076023391812866,0.8175675675675675,XGBoost
0.7679795918367346,14040,85241,54,27,121,0.6914285714285714,0.8175675675675675,XGBoost
0.7578877551020408,14060,85239,56,27,121,0.6836158192090396,0.8175675675675675,XGBoost
0.7477959183673469,14090,85236,59,27,121,0.6722222222222223,0.8175675675675675,XGBoost
0.737704081632653,14100,85235,60,27,121,0.6685082872928176,0.8175675675675675,XGBoost
0.7276122448979592,14160,85229,66,27,121,0.6470588235294118,0.8175675675675675,XGBoost
0.2230204081632653,14160,84929,366,21,127,0.25760649087221094,0.8581081081081081,XGBoost
0.2129285714285714,14370,84908,387,21,127,0.24708171206225682,0.8581081081081081,XGBoost
0.8487142857142856,14430,85252,43,28,120,0.7361963190184049,0.8108108108108109,XGBoost
0.20283673469387753,14600,84885,410,21,127,0.23649906890130354,0.8581081081081081,XGBoost
0.19274489795918365,14830,84862,433,21,127,0.22678571428571428,0.8581081081081081,XGBoost
0.1826530612244898,15140,84831,464,21,127,0.21489001692047377,0.8581081081081081,XGBoost
0.8789897959183672,15380,85257,38,30,118,0.7564102564102564,0.7972972972972973,XGBoost
0.1725612244897959,15400,84805,490,21,127,0.20583468395461912,0.8581081081081081,XGBoost
0.8688979591836734,15410,85254,41,30,118,0.7421383647798742,0.7972972972972973,XGBoost
0.8588061224489796,15420,85253,42,30,118,0.7375,0.7972972972972973,XGBoost
0.16246938775510203,15820,84763,532,21,127,0.19271623672230653,0.8581081081081081,XGBoost
0.8890816326530612,15880,85257,38,31,117,0.7548387096774194,0.7905405405405406,XGBoost
0.15237755102040815,16230,84722,573,21,127,0.18142857142857144,0.8581081081081081,XGBoost
0.899173469387755,16340,85261,34,32,116,0.7733333333333333,0.7837837837837838,XGBoost
0.14228571428571427,16700,84675,620,21,127,0.17001338688085676,0.8581081081081081,XGBoost
0.9294489795918367,17260,85269,26,34,114,0.8142857142857143,0.7702702702702703,XGBoost
0.9193571428571428,17270,85268,27,34,114,0.8085106382978723,0.7702702702702703,XGBoost
0.1321938775510204,17300,84615,680,21,127,0.15737298636926889,0.8581081081081081,XGBoost
0.12210204081632653,17310,84564,731,20,128,0.1490104772991851,0.8648648648648649,XGBoost
0.9092653061224489,17320,85263,32,34,114,0.7808219178082192,0.7702702702702703,XGBoost
0.9395408163265305,17750,85270,25,35,113,0.8188405797101449,0.7635135135135135,XGBoost
0.11201020408163265,18160,84479,816,20,128,0.13559322033898305,0.8648648648648649,XGBoost
0.9698163265306122,18200,85275,20,36,112,0.8484848484848485,0.7567567567567568,XGBoost
